compound_id	smiles	score_kcal_mol
101424960	BrC1=CN=C(N2CC(NC3CCOCC3)C2)C2=NC=CC=C12	-6.146
101424992	CC1=NC2=CC=CN=C2N=C1N1CC(NC2CCOCC2)C1	-5.992
101425056	CC1=CC2=C(C=C1C)SC(N1CC(NC3CCOCC3)C1)=N2	-6.395
101425120	ClC1=NC(N2CC(NC3CCOCC3)C2)=C2C(I)=NNC2=N1	-6.046
101425216	CN(C)C(=O)C1=CC(N2CCCN3N=C(N)C=C3C2)=CC=N1	-6.424
101425248	NC1=NN2CCCN(C3=CC=NC4=CC(F)=CC=C43)CC2=C1	-7.530
101425280	CC1=CC2=CC=CC=C2C(N2CCCN3N=C(N)C=C3C2)=N1	-6.743
101425312	CSC1=NC(N2CCCN3N=C(N)C=C3C2)=CC(C(F)F)=N1	-6.156
101425344	CCOC(=O)CC1=CSC(N2CCCN3N=C(N)C=C3C2)=N1	-5.730
101425376	CCS(=O)(=O)C1=CC=CN=C1N1CCCN2N=C(N)C=C2C1	-5.639
101425408	NC1=CC(N2CCCN3N=C(N)C=C3C2)=NC(C(F)(F)F)=N1	-6.758
101425440	NC1=NN2CCCN(C3=CC=NC4=CC=C(I)C=C43)CC2=C1	-6.449
101425472	CC1=CN=C(N2CCCN3N=C(N)C=C3C2)C=C1C(F)(F)F	-6.160
101425504	CCCNC1=NC(N2CCCN3N=C(N)C=C3C2)=NC=C1F	-6.340
101425536	N#CC1=C2N=C(N3CCCN4N=C(N)C=C4C3)C=CN2N=C1	-5.744
101425568	CC1=NC(N2CCCN3N=C(N)C=C3C2)=NC2=C1N=CN2C	-6.516
101425600	CN1C=C2C(=N1)N=C(Cl)N=C2N1CCCN2N=C(N)C=C2C1	-6.306
101425632	NC1=NN2CCCN(C3=C4C(Cl)=CC=CC4=CC=N3)CC2=C1	-6.423
101425664	NC1=NN2CCCN(C3=CC4=C(C=N3)C(=O)C=CN4)CC2=C1	-7.041
101425696	CNS(=O)(=O)C1=CC=C(N2CCCN3N=C(N)C=C3C2)N=C1	-6.682
|&1:5,9|	CC1=NN=C([C@H]2OCC[C@H]2CNC2=CC=CC=C2[N+](=O)[O-])N1	-6.151
|&1:10,14|	CC1=CC(C#N)=CC(NC[C@H]2CCO[C@H]2C2=NN=C(C)N2)=N1	-5.915
|&1:12,13,21|	N#CC1=CC2=C(CCC2)N=C1N[C@@H]1[C@H]2CC3=CC=CC=C3[C@H]21	-6.518
